Entity,Code,Year,"Energy imports, net (% of energy use)"
Albania,ALB,1990,6.4206004
Albania,ALB,1991,-3.4848988
Albania,ALB,1992,-3.3818123
Albania,ALB,1993,0.16870973
Albania,ALB,1994,3.5346718
Albania,ALB,1995,6.636723
Albania,ALB,1996,6.2928233
Albania,ALB,1997,8.699426
Albania,ALB,1998,16.285975
Albania,ALB,1999,42.023754
Albania,ALB,2000,46.518154
Albania,ALB,2001,53.182774
Albania,ALB,2002,54.02541
Albania,ALB,2003,51.55677
Albania,ALB,2004,48.369835
Albania,ALB,2005,50.5736
Albania,ALB,2006,41.24001
Albania,ALB,2007,49.34987
Albania,ALB,2008,50.062004
Albania,ALB,2009,46.41059
Albania,ALB,2010,28.962214
Albania,ALB,2011,35.894768
Albania,ALB,2012,15.717287
Albania,ALB,2013,25.200422
Albania,ALB,2014,28.911953
Albania,ALB,2015,12.696462
Albania,ALB,2016,20.272354
Albania,ALB,2017,38.8336
Albania,ALB,2018,21.269487
Albania,ALB,2019,32.231804
Albania,ALB,2020,36.46998
Albania,ALB,2021,24.117752
Albania,ALB,2022,32.276398
Algeria,DZA,1990,-348.57895
Algeria,DZA,1991,-334.6042
Algeria,DZA,1992,-331.51782
Algeria,DZA,1993,-331.86942
Algeria,DZA,1994,-330.51715
Algeria,DZA,1995,-338.13818
Algeria,DZA,1996,-377.43372
Algeria,DZA,1997,-403.6896
Algeria,DZA,1998,-407.93842
Algeria,DZA,1999,-411.8665
Algeria,DZA,2000,-425.82828
Algeria,DZA,2001,-406.35596
Algeria,DZA,2002,-391.5575
Algeria,DZA,2003,-401.85754
Algeria,DZA,2004,-405.2957
Algeria,DZA,2005,-412.443
Algeria,DZA,2006,-373.28934
Algeria,DZA,2007,-346.1207
Algeria,DZA,2008,-331.68216
Algeria,DZA,2009,-273.86865
Algeria,DZA,2010,-268.12384
Algeria,DZA,2011,-243.48576
Algeria,DZA,2012,-209.6286
Algeria,DZA,2013,-186.27162
Algeria,DZA,2014,-171.45978
Algeria,DZA,2015,-158.92567
Algeria,DZA,2016,-178.80978
Algeria,DZA,2017,-169.87921
Algeria,DZA,2018,-152.18073
Algeria,DZA,2019,-133.35275
Algeria,DZA,2020,-125.09489
Algeria,DZA,2021,-137.10304
Algeria,DZA,2022,-127.11695
Angola,AGO,1990,-381.65005
Angola,AGO,1991,-392.00095
