Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Provisional
Australia,"Coal, peat and oil shale",Production (PJ),01. Australia,"01. Coal, peat and oil shale",01. Production (PJ),1368.251838,1648.414248,1685.223676,1640.362098,1874.310525,1848.931584,2047.783872,2007.46307,2175.879558,2172.858506,2621.698735,2651.691207,3033.662132,3305.79691,3514.371236,3789.06713,4302.475582000001,3771.204926,4195.740995,4442.320098,4804.894240000001,4988.129471,5023.436132000001,4969.196979,5351.710375,5441.004113,5889.834977,6381.82829,6470.250981,6890.559759,7470.643152,7697.986844,7697.870886,7920.967422000001,8439.693101,8533.045724,9000.748664,9039.732888,9350.504976,10323.123921,9782.067241,10272.362208,11074.778706,11950.787936,12501.001542,12223.55369,12256.938082,12323.325799,12596.415817,12334.886974,11467.56954,11416.065922,10814.978321,11401.205419
Australia,"Coal, peat and oil shale",Imports (PJ),01. Australia,"01. Coal, peat and oil shale",02. Imports (PJ),0,0,0,0,0,0,0,0.292657,0.366286,0.049103,0,0.024978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.457999,0.405002,0.593998,1.377001,1.188,0.189001,0.162,1.784603,6.724696,3.598299,2.574396,5.240999,6.978797,6.829994,7.783701,12.364454,17.03485,19.2703,12.416851,15.0273,15.048749,16.595529
Australia,"Coal, peat and oil shale",Exports (PJ),01. Australia,"01. Coal, peat and oil shale",03. Exports (PJ),-541.4240010000001,-614.718,-738.9393980000001,-745.3829460000001,-849.7079279999999,-786.846693,-915.088566,-1001.527782,-1103.710136,-1164.246286,-1385.937681,-1268.280817,-1677.585659,-2081.988906,-2407.110041,-2497.854706,-2740.525557,-2721.26127,-2699.044083,-2816.318846,-3274.676836,-3433.684211,-3584.958231,-3563.806982,-3709.2725,-3823.573911,-4251.278411,-4524.535649,-4676.705360000001,-5083.8522,-5233.897604000001,-5549.035595,-5674.778203,-5957.901698,-6321.661001,-6312.856701000001,-6651.126,-6864.835101,-7077.711298,-7971.286704,-7720.391726,-8171.019358,-9101.059456,-10166.886902,-10634.4478,-10552.505103,-10248.029799,-10333.423202,-10629.0366,-10504.851996,-9866.188301000002,-9687.771298000001,-9147.490595000001,-9581.675659
Australia,"Coal, peat and oil shale",Total energy supply (PJ),01. Australia,"01. Coal, peat and oil shale",04. Total energy supply (PJ),884.29747,923.250159,945.541879,928.3230699999999,998.126664,996.366969,1081.563936,998.1097950000001,1034.394032,1143.764226,1155.059919,1195.928044,1169.640094,1226.31511,1260.799822,1237.147475,1331.823571,1347.22721,1464.485767,1460.679944,1518.887028,1542.077219,1572.512115,1553.850505,1569.972908,1703.475872,1855.933572,1972.869141,2013.570427,2015.828506,2018.544471,2034.808062,2015.734458,2089.200434,2136.730512,2164.525266,2172.797014,2156.304351,2205.216884,2113.079216,2013.783238,1968.811755,1831.201248,1736.5671,1797.035545,1863.051458,1996.773936,1930.457749,1956.712871,1782.618877,1683.993595,1567.046515,1465.633268,1391.769001
Australia,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",01. Australia,"01. Coal, peat and oil shale","05. Electricity, CHP and heat plants (PJ)",-516.538554,-569.92192,-577.9004910000001,-617.948469,-664.426838,-684.195279,-770.445005,-707.32426,-734.530894,-844.4131260000001,-870.8521050000002,-913.252432,-875.941366,-897.845761,-987.3758780000001,-978.4524720000001,-1058.493266,-1111.71451,-1199.821345,-1209.253418,-1253.638971,-1286.065804,-1294.372185,-1310.812329,-1355.732979,-1429.945563,-1486.648672,-1665.522647,-1701.310267,-1724.419744,-1793.426854,-1848.055978,-1777.408031,-1859.564867,-1890.711582,-1929.469694,-1947.243388,-1920.807589,-2007.050973,-1964.849921,-1873.809504,-1861.38216,-1736.164297,-1642.955514,-1709.344062,-1756.838915,-1724.744578,-1642.479731,-1603.213944,-1516.209917,-1468.266116,-1395.813069,-1343.393429,..
Australia,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",01. Australia,"01. Coal, peat and oil shale","06. Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,"Coal, peat and oil shale",Total final consumption (PJ),01. Australia,"01. Coal, peat and oil shale",07. Total final consumption (PJ),220.404368,210.885813,217.598961,208.548259,215.972389,206.815393,202.128647,176.512792,184.172965,188.721727,178.128867,181.669485,163.796207,170.95857,195.331746,181.826419,184.488411,184.033871,186.125772,190.791999,194.376239,194.720201,198.781945,197.686616,195.453594,186.463635,196.90798,188.791893,184.139044,175.846094,165.416072,125.943608,144.840525,151.394634,163.074198,149.013433,148.790436,153.221393,142.824593,106.261729,104.481674,101.416597,98.488667,102.469502,98.101685,113.289595,112.382257,121.701484,119.876801,111.840406,113.331589,113.070291,106.452049,..
Australia,"Coal, peat and oil shale",Industry (PJ),01. Australia,"01. Coal, peat and oil shale",08. Industry (PJ),204.457789,195.678786,204.956579,182.453354,191.06417,183.933484,181.063864,157.490849,165.784573,171.339699,161.577321,165.90697,148.064792,153.491735,178.890517,166.779064,169.987086,170.741095,173.291773,179.223728,183.598917,184.573366,188.88322,188.331542,186.287718,178.360766,189.00892,181.696285,177.579785,169.312534,156.922466,119.491393,136.637621,143.91721,151.440349,139.57657,139.213859,143.394471,133.594767,101.529293,101.083194,98.640958,98.28866400000001,102.191297,97.76549000000001,112.944498,111.848365,121.171083,119.2778,111.045906,113.096894,112.926093,106.300646,..
Australia,"Coal, peat and oil shale",Transport (PJ),01. Australia,"01. Coal, peat and oil shale",09. Transport (PJ),3.432,1.456002,0.8662820000000001,0.313512,0.336363,0.282776,0.25707,0.174958,0.16025,0.150905,0.15209,0.132089,0.601505,3.204945,2.945401,2.866522,3.335397,3.109252,3.424999,3.025373,3.240721,3.464677,3.594828,3.488153,3.580924,3.568577,3.860372,3.779102,3.6956,3.6956,4.601021,2.420619,3.344516,3.824947,7.594457,6.55969,7.021640000000001,7.594457,7.37272,3.917338,2.79018,2.402139,0,0,0.025699,0,0,0,0,0,0,0,0,..
Australia,"Coal, peat and oil shale",Residential (PJ),01. Australia,"01. Coal, peat and oil shale",10. Residential (PJ),9.914581,9.851025,7.838452,14.835582,13.865342,12.173301,10.604281,9.494817,8.86135,8.145834,7.698432,7.229084,6.859497999999999,6.061762,5.586866,4.745369,4.043017,3.354125,2.766989,2.384119,1.900112,1.778728,1.785205,1.581132,1.609511,1.120191,0.9282680000000001,0.897976,0.817582,0.76618,0.853877,0.966376,0.942369,0.834387,0.8652820000000001,0.409586,0.3960880000000001,0.361589,0.297589,0.1629,0.103502,0.066599,0.05130100000000001,0,0.020997,0.020997,0.020997,0.020997,0.020997,0,0.020997,0,0,..
