Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
Austria,AUT,1990,0,1.13,0,0,31.51,0,2.72,7.72,6.19,0,1.13,0,0,31.51,0,2.72,7.72,6.19
Austria,AUT,1991,0,1.21,0,0,31.44,0,3.2,7.47,6.84,0,1.21,0,0,31.44,0,3.2,7.47,6.84
Austria,AUT,1992,0,1.31,0,0,34.85,0,2.98,6.64,4.11,0,1.31,0,0,34.85,0,2.98,6.64,4.11
Austria,AUT,1993,0,1.34,0,0,36.71,0,3.49,6.79,2.98,0,1.34,0,0,36.71,0,3.49,6.79,2.98
Austria,AUT,1994,0,1.19,0,0,35.71,0,3.31,8.64,3.1,0,1.19,0,0,35.71,0,3.31,8.64,3.1
Austria,AUT,1995,0,1.84,0,0,37.07,0,2.91,8.91,4.32,0,1.84,0,0,37.07,0,2.91,8.91,4.32
Austria,AUT,1996,0,1.57,0,0,34.22,0,2.98,9.4,5.28,0,1.57,0,0,34.22,0,2.98,9.4,5.28
Austria,AUT,1997,0,1.69,0,0.02,36.11,0,3.47,8.47,5.83,0,1.69,0,0.02,36.11,0,3.47,8.47,5.83
Austria,AUT,1998,0,1.82,0,0.05,37.16,0,3.79,8.87,4.13,0,1.82,0,0.05,37.16,0,3.79,8.87,4.13
Austria,AUT,1999,0,1.6,0,0.05,40.7,0,3.66,9.29,4.42,0,1.6,0,0.05,40.7,0,3.66,9.29,4.42
Austria,AUT,2000,0,1.53,0,0.07,41.84,0,2.63,7.85,5.72,0,1.53,0,0.07,41.84,0,2.63,7.85,5.72
Austria,AUT,2001,0,1.67,0.01,0.1,40.46,0,3.1,8.75,6.89,0,1.67,0.01,0.1,40.46,0,3.1,8.75,6.89
Austria,AUT,2002,0,1.52,0.01,0.14,40.23,0,2.81,9.31,6.61,0,1.52,0.01,0.14,40.23,0,2.81,9.31,6.61
Austria,AUT,2003,0,1.65,0.01,0.37,33.21,0,3.13,11.16,8.44,0,1.65,0.01,0.37,33.21,0,3.13,11.16,8.44
Austria,AUT,2004,0,1.91,0.02,0.93,36.76,0,3.37,10.95,7.91,0,1.91,0.02,0.93,36.76,0,3.37,10.95,7.91
Austria,AUT,2005,0,2.43,0.02,1.33,37.1,0,3.29,13.03,7.17,0,2.43,0.02,1.33,37.1,0,3.29,13.03,7.17
Austria,AUT,2006,0,3.23,0.02,1.75,35.66,0,3.51,10.67,7.37,0,3.23,0.02,1.75,35.66,0,3.51,10.67,7.37
Austria,AUT,2007,0,4.06,0.02,2.04,37.05,0,3.16,9.9,6.6,0,4.06,0.02,2.04,37.05,0,3.16,9.9,6.6
Austria,AUT,2008,0,4.16,0.03,2.01,38.33,0,3.14,11.18,5.53,0,4.16,0.03,2.01,38.33,0,3.14,11.18,5.53
Austria,AUT,2009,0,4.28,0.05,1.95,40.9,0,2.93,12.34,3.76,0,4.28,0.05,1.95,40.9,0,2.93,12.34,3.76
Austria,AUT,2010,0,4.48,0.09,2.06,38.36,0,3.56,14.35,4.92,0,4.48,0.09,2.06,38.36,0,3.56,14.35,4.92
Austria,AUT,2011,0,4.56,0.17,1.94,34.24,0,3.42,12.44,5.43,0,4.56,0.17,1.94,34.24,0,3.42,12.44,5.43
Austria,AUT,2012,0,4.68,0.34,2.46,43.85,0,3.22,9.71,4.39,0,4.68,0.34,2.46,43.85,0,3.22,9.71,4.39
Austria,AUT,2013,0,4.7,0.63,3.15,42.02,0,3.19,6.65,4.21,0,4.7,0.63,3.15,42.02,0,3.19,6.65,4.21
Austria,AUT,2014,0,4.55,0.79,3.85,41.01,0,3.09,5.32,2.94,0,4.55,0.79,3.85,41.01,0,3.09,5.32,2.94
Austria,AUT,2015,0,4.65,0.94,4.84,37.16,0,3.58,7.66,2.95,0,4.65,0.94,4.84,37.16,0,3.58,7.66,2.95
Austria,AUT,2016,0,4.78,1.1,5.23,39.97,0,3.26,8.49,2.04,0,4.78,1.1,5.23,39.97,0,3.26,8.49,2.04
Austria,AUT,2017,0,4.92,1.27,6.57,38.29,0,3.37,10.91,1.76,0,4.92,1.27,6.57,38.29,0,3.37,10.91,1.76
Austria,AUT,2018,0,4.93,1.46,6.03,37.64,0,2.88,9.92,1.81,0,4.93,1.46,6.03,37.64,0,2.88,9.92,1.81
Austria,AUT,2019,0,4.66,1.7,7.45,40.83,0,3.23,11.32,1.5,0,4.66,1.7,7.45,40.83,0,3.23,11.32,1.5
Austria,AUT,2020,0,4.59,2.04,6.79,42,0,3.11,9.95,0.56,0,4.59,2.04,6.79,42,0,3.11,9.95,0.56
Austria,AUT,2021,0,4.48,2.77,6.74,38.89,0,3.31,10.62,0,0,4.48,2.77,6.74,38.89,0,3.31,10.62,0
Austria,AUT,2022,0,4.76,3.78,7.25,34.63,0,3.22,10.87,0,0,4.76,3.78,7.25,34.63,0,3.22,10.87,0
Austria,AUT,2023,0,4.56,6.39,8.34,40.67,0,3.32,7.5,0,0,4.56,6.39,8.34,40.67,0,3.32,7.5,0
Austria,AUT,2024,0,5.09,8.82,9.44,44.76,0,3.32,7.11,0,0,5.09,8.82,9.44,44.76,0,3.32,7.11,0
Belgium,BEL,1990,0,0.28,0,0.01,0.27,42.72,4.51,5.41,17.09,0,0.28,0,0.01,0.27,42.72,4.51,5.41,17.09
Belgium,BEL,1991,0,0.3,0,0.01,0.23,42.86,5.06,6.22,16.51,0,0.3,0,0.01,0.23,42.86,5.06,6.22,16.51
Belgium,BEL,1992,0,0.27,0,0.01,0.34,43.46,4.66,6.67,16.01,0,0.27,0,0.01,0.34,43.46,4.66,6.67,16.01
Belgium,BEL,1993,0,0.25,0,0.01,0.25,41.93,4.53,6.81,16.3,0,0.25,0,0.01,0.25,41.93,4.53,6.81,16.3
Belgium,BEL,1994,0,0.25,0,0.01,0.35,40.62,4.86,8.27,16.98,0,0.25,0,0.01,0.35,40.62,4.86,8.27,16.98
Belgium,BEL,1995,0,0.32,0,0.01,0.34,41.36,4.79,10.18,16.52,0,0.32,0,0.01,0.34,41.36,4.79,10.18,16.52
Belgium,BEL,1996,0,0.31,0,0.01,0.24,43.34,4.68,11.01,15.55,0,0.31,0,0.01,0.24,43.34,4.68,11.01,15.55
Belgium,BEL,1997,0,0.28,0,0.01,0.31,47.41,4.58,11.54,13.75,0,0.28,0,0.01,0.31,47.41,4.58,11.54,13.75
Belgium,BEL,1998,0,0.36,0,0.01,0.39,46.17,5.93,15.04,14.19,0,0.36,0,0.01,0.39,46.17,5.93,15.04,14.19
Belgium,BEL,1999,0,0.5,0,0.01,0.34,49.02,4.33,19.23,9.94,0,0.5,0,0.01,0.34,49.02,4.33,19.23,9.94
Belgium,BEL,2000,0,0.57,0,0.02,0.46,48.16,4.68,15.98,12.92,0,0.57,0,0.02,0.46,48.16,4.68,15.98,12.92
Belgium,BEL,2001,0,0.6,0,0.04,0.44,46.35,5.48,15.78,9.94,0,0.6,0,0.04,0.44,46.35,5.48,15.78,9.94
Belgium,BEL,2002,0,0.72,0,0.06,0.36,47.36,4.54,17.87,10.03,0,0.72,0,0.06,0.36,47.36,4.54,17.87,10.03
Belgium,BEL,2003,0,0.86,0,0.09,0.25,47.38,3.74,21.61,9.64,0,0.86,0,0.09,0.25,47.38,3.74,21.61,9.64
Belgium,BEL,2004,0,1.04,0,0.14,0.32,47.31,4.91,20.04,9.15,0,1.04,0,0.14,0.32,47.31,4.91,20.04,9.15
Belgium,BEL,2005,0,1.59,0,0.23,0.29,47.6,4.97,21.5,8.2,0,1.59,0,0.23,0.29,47.6,4.97,21.5,8.2
Belgium,BEL,2006,0,2.23,0,0.37,0.36,46.65,4.89,21.99,6.85,0,2.23,0,0.37,0.36,46.65,4.89,21.99,6.85
Belgium,BEL,2007,0,2.6,0.01,0.49,0.39,48.23,3.96,24.66,6.47,0,2.6,0.01,0.49,0.39,48.23,3.96,24.66,6.47
Belgium,BEL,2008,0,3.33,0.04,0.64,0.41,45.57,3.41,24.11,5.55,0,3.33,0.04,0.64,0.41,45.57,3.41,24.11,5.55
Belgium,BEL,2009,0,3.95,0.17,0.99,0.33,47.22,2.67,29.25,5.18,0,3.95,0.17,0.99,0.33,47.22,2.67,29.25,5.18
Belgium,BEL,2010,0,4.38,0.58,1.29,0.31,47.94,3.49,30.84,4.2,0,4.38,0.58,1.29,0.31,47.94,3.49,30.84,4.2
Belgium,BEL,2011,0,4.63,1.21,2.31,0.2,48.23,3.77,25.44,3.48,0,4.63,1.21,2.31,0.2,48.23,3.77,25.44,3.48
Belgium,BEL,2012,0,5.24,2.15,2.76,0.36,40.29,3.75,23.57,3.39,0,5.24,2.15,2.76,0.36,40.29,3.75,23.57,3.39
Belgium,BEL,2013,0,5.03,2.64,3.67,0.38,42.64,3.78,20.8,3.01,0,5.03,2.64,3.67,0.38,42.64,3.78,20.8,3.01
Belgium,BEL,2014,0,4.41,2.89,4.62,0.29,33.7,3.86,19.34,2.09,0,4.41,2.89,4.62,0.29,33.7,3.86,19.34,2.09
Belgium,BEL,2015,0,5.49,3.06,5.57,0.32,26.1,3.8,22.02,2.07,0,5.49,3.06,5.57,0.32,26.1,3.8,22.02,2.07
